C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-11.888,-12.06,-14.983,-5.89,-10.706,-9.0909,-13.528,-9.9502,-10.915,-13.861,-12.745,-11.947,-12.504,-13.065,-12.25,-9.1371,-14.359,-11.122,-12.742
-9.9179,-12.06,-14.983,-6.8608,-7.7504,-10.101,-16.455,-8.9552,-12.876,-11.881,-12.745,-15.908,-12.504,-16.08,-14.281,-9.1371,-14.359,-10.117,-17.668
-11.888,-17.085,-18.944,-7.8317,-9.7209,-12.121,-17.431,-10.945,-13.856,-15.842,-15.686,-18.878,-13.541,-21.106,-18.342,-10.152,-14.359,-11.122,-19.639
-9.9179,-21.106,-22.904,-11.715,-10.706,-16.162,-16.455,-11.94,-13.856,-20.792,-18.627,-19.868,-16.649,-23.116,-20.372,-14.213,-13.397,-12.127,-18.654
-7.9475,-17.085,-18.944,-11.715,-9.7209,-13.131,-9.626,-9.9502,-10.915,-16.832,-15.686,-12.937,-12.504,-16.08,-15.296,-15.228,-9.5513,-8.1072,-9.7865
-9.9179,-14.07,-14.983,-11.715,-11.691,-12.121,-8.6504,-9.9502,-9.9346,-13.861,-13.725,-9.967,-11.468,-12.06,-12.25,-13.198,-10.513,-10.117,-5.8456
-9.9179,-7.0352,-6.0726,-6.8608,-8.7356,-4.0404,-3.7724,-6.9652,-9.9346,-6.9307,-6.8627,-6.0066,-6.2867,-6.0302,-4.1286,-8.1218,-8.5897,-10.117,-4.8604
-8.9327,-5.0251,0.85809,-2.0065,-7.7504,2.0202,-3.7724,-1.99,-7.9739,-3.9604,0.0,-4.0264,-4.2142,-4.0201,1.9628,-4.0609,-6.6667,-12.127,-4.8604
-10.903,-10.05,-2.1122,-1.0356,-11.691,3.0303,-5.7236,-1.99,-6.0131,-9.901,-1.9608,-5.0165,-5.2504,-9.0452,0.94755,-3.0457,-8.5897,-15.142,-6.8309
-11.888,-15.075,-7.0627,-2.9773,-14.647,1.0101,-5.7236,-1.99,-4.0523,-13.861,-4.902,-6.0066,-6.2867,-13.065,-2.0981,-1.0152,-10.513,-17.152,-5.8456
-10.903,-19.095,-10.033,-3.9482,-17.603,-2.0202,-8.6504,-0.99502,-6.0131,-14.851,-4.902,-6.9967,-5.2504,-14.07,-6.1591,-5.0761,-12.436,-14.137,-6.8309
-12.874,-18.09,-8.0528,-3.9482,-15.632,-2.0202,-7.6748,-3.9801,-7.9739,-16.832,-3.9216,-4.0264,-6.2867,-11.055,-3.1134,-8.1218,-11.474,-16.147,-5.8456
-9.9179,-10.05,1.8482,-0.06472,-9.7209,5.0505,-2.7967,-0.99502,-4.0523,-9.901,1.9608,2.9043,-3.1779,-2.0101,6.0237,-3.0457,-5.7051,-14.137,-2.89
-10.903,-8.0402,1.8482,-2.9773,-8.7356,4.0404,-4.748,-2.9851,-4.0523,-7.9208,-0.98039,-1.0561,-5.2504,-3.0151,5.0085,-2.0305,-7.6282,-13.132,-8.8013
-11.888,-10.05,-4.0924,-5.89,-10.706,-3.0303,-10.602,-5.9701,-7.9739,-8.9109,-5.8824,-9.967,-8.3592,-9.0452,-4.1286,-5.0761,-12.436,-10.117,-17.668
-9.9179,-12.06,-11.023,-8.8026,-12.677,-10.101,-13.528,-8.9552,-10.915,-9.901,-11.765,-16.898,-9.3955,-16.08,-14.281,-10.152,-16.282,-8.1072,-21.609
-8.9327,-12.06,-13.003,-10.744,-13.662,-13.131,-15.48,-8.9552,-13.856,-9.901,-11.765,-17.888,-10.432,-17.085,-19.357,-12.183,-17.244,-6.0972,-17.668
-6.9622,-9.0452,-12.013,-11.715,-8.7356,-12.121,-12.553,-9.9502,-14.837,-8.9109,-10.784,-12.937,-8.3592,-13.065,-16.311,-12.183,-12.436,-7.1022,-9.7865
-4.9918,-8.0402,-10.033,-11.715,-5.78,-12.121,-11.577,-8.9552,-13.856,-7.9208,-11.765,-9.967,-10.432,-10.05,-12.25,-12.183,-8.5897,-3.0821,-6.8309
-7.9475,-10.05,-12.013,-12.686,-5.78,-12.121,-13.528,-11.94,-11.895,-8.9109,-14.706,-9.967,-11.468,-10.05,-10.22,-12.183,-9.5513,-3.0821,-9.7865
-1.0509,0.0,-1.1221,-8.8026,5.0575,-5.0505,-3.7724,-6.9652,-3.0719,0.9901,-5.8824,-0.06601,-4.2142,-1.005,0.94755,-6.0914,1.0256,4.9581,1.0509
2.89,7.0352,5.8086,-3.9482,10.969,0.0,4.0325,-2.9851,0.84967,6.9307,0.0,2.9043,3.0397,4.0201,5.0085,-2.0305,8.7179,12.998,7.9475
6.8309,8.0402,6.7987,-1.0356,13.924,1.0101,5.9837,0.99502,1.8301,6.9307,3.9216,0.92409,7.1848,2.0101,2.978,-1.0152,10.641,14.003,9.9179
4.8604,1.005,1.8482,-0.06472,7.0279,2.0202,0.13008,2.9851,-0.13072,1.9802,1.9608,-5.0165,5.1123,-5.0251,0.94755,0.0,0.0641,10.988,-0.91954
-3.0213,-9.0452,-8.0528,-4.9191,-2.8243,-4.0404,-8.6504,-2.9851,-6.9935,-7.9208,-6.8627,-11.947,-6.2867,-14.07,-5.1438,-5.0761,-12.436,-3.0821,-14.713
-5.977,-10.05,-11.023,-7.8317,-3.8095,-7.0707,-10.602,-5.9701,-7.9739,-9.901,-9.8039,-10.957,-8.3592,-13.065,-7.1743,-7.1066,-13.397,-9.1122,-16.683
-7.9475,-11.055,-10.033,-8.8026,-4.7947,-10.101,-13.528,-7.9602,-9.9346,-13.861,-11.765,-9.967,-10.432,-10.05,-7.1743,-9.1371,-13.397,-10.117,-18.654
-7.9475,-14.07,-8.0528,-3.9482,-9.7209,-5.0505,-13.528,-3.9801,-8.9542,-15.842,-6.8627,-9.967,-8.3592,-9.0452,-7.1743,-5.0761,-13.397,-6.0972,-16.683
-7.9475,-20.101,-10.033,2.8479,-16.617,0.0,-14.504,0.0,-7.9739,-17.822,-2.9412,-14.917,-5.2504,-14.07,-9.2047,2.0305,-17.244,-12.127,-15.698
-9.9179,-27.136,-16.964,3.8188,-25.484,-2.0202,-17.431,1.99,-7.9739,-22.772,-4.902,-21.848,-7.323,-22.111,-15.296,0.0,-22.051,-20.168,-17.668
-11.888,-30.151,-24.884,-1.0356,-27.455,-9.0909,-19.382,-0.99502,-14.837,-24.752,-12.745,-25.809,-10.432,-29.146,-22.403,-6.0914,-23.974,-18.157,-18.654
-12.874,-29.146,-30.825,-4.9191,-23.514,-18.182,-19.382,-3.9801,-19.739,-27.723,-19.608,-26.799,-17.686,-32.161,-28.494,-12.183,-21.09,-20.168,-20.624
-15.829,-26.131,-33.795,-8.8026,-16.617,-23.232,-15.48,-8.9552,-18.758,-28.713,-24.51,-25.809,-20.794,-30.151,-31.54,-14.213,-18.205,-21.173,-17.668
-12.874,-20.101,-23.894,-4.9191,-12.677,-14.141,-9.626,-4.9751,-10.915,-21.782,-15.686,-18.878,-15.613,-22.111,-19.357,-7.1066,-17.244,-11.122,-16.683
-9.9179,-13.065,-12.013,1.877,-10.706,-3.0303,-5.7236,-0.99502,-3.0719,-11.881,-6.8627,-9.967,-7.323,-13.065,-4.1286,0.0,-18.205,-11.122,-15.698
-10.903,-10.05,-6.0726,0.90615,-12.677,-3.0303,-8.6504,-2.9851,-6.0131,-7.9208,-5.8824,-6.9967,-8.3592,-9.0452,-1.0829,-2.0305,-18.205,-16.147,-14.713
-11.888,-5.0251,-7.0627,-1.0356,-9.7209,-4.0404,-9.626,-4.9751,-9.9346,-4.9505,-7.8431,-6.0066,-7.323,-6.0302,-5.1438,-4.0609,-12.436,-12.127,-9.7865
-8.9327,-3.0151,-10.033,-2.9773,-5.78,-8.0808,-13.528,-4.9751,-10.915,-4.9505,-8.8235,-11.947,-6.2867,-8.0402,-14.281,-4.0609,-7.6282,-4.0871,-8.8013
-7.9475,-4.0201,-12.013,-2.0065,-1.8391,-7.0707,-20.358,-3.9801,-14.837,-6.9307,-8.8235,-19.868,-6.2867,-12.06,-19.357,-5.0761,-7.6282,-11.122,-13.727
-4.9918,-1.005,-6.0726,-0.06472,4.0722,-3.0303,-15.48,-3.9801,-11.895,-3.9604,-2.9412,-13.927,-4.2142,-8.0402,-12.25,-4.0609,-3.7821,-11.122,-10.772
1.9048,6.0302,4.8185,0.90615,11.954,4.0404,1.1057,0.0,-2.0915,4.9505,3.9216,2.9043,3.0397,3.0151,3.9932,-3.0457,4.8718,1.943,2.0361
